time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,time/total_timesteps,rollout/ep_rew_mean,train/loss,train/n_updates,train/approx_kl,train/std,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/entropy_loss,train/clip_range,eval/mean_reward,eval/mean_ep_length
418,1150.12,367,75,153600,-8.37017722,0.004637129604816437,740,0.06276242,0.5563013553619385,0.23722659482154995,0.6929942965507507,-0.006809024278481957,0.003,0.395556640625,-1.6527435179799794,0.2,,
423,1150.12,367,76,155648,-8.20043985,0.04313257709145546,750,0.09153842,0.5699597597122192,0.5140726013574749,0.30402231216430664,-0.021426481698290444,0.003,0.40908203125,-1.7291470292955637,0.2,,
428,1150.12,367,77,157696,-8.09381926,0.03143945708870888,760,0.11919029,0.5477197170257568,0.28819260803284125,0.45584994554519653,-0.015168156720756087,0.003,0.430126953125,-1.6643263086676598,0.2,,
434,1150.12,368,78,159744,-8.206022860000001,0.3055202066898346,770,0.09461208,0.5467571020126343,0.6154940315056592,0.3555978536605835,-0.009344746451824903,0.003,0.434814453125,-1.6384087022393943,0.2,,
439,1150.12,368,79,161792,-7.130379,0.15759971737861633,780,0.058394164,0.54805588722229,0.37691546422429384,0.4227699041366577,-0.0009669163104263134,0.003,0.3810546875,-1.6517413660883904,0.2,,
445,1150.12,368,80,163840,-7.15589237,0.12316490709781647,790,0.09330126,0.5500802993774414,0.5415474759414792,0.5533116459846497,-0.006498709027073346,0.003,0.408251953125,-1.6615757320076228,0.2,,
450,1150.12,368,81,165888,-7.128909660000001,0.04721139371395111,800,0.09693384,0.549358606338501,0.38378711577970537,0.3055424094200134,-0.007886398443952202,0.003,0.395849609375,-1.6501035932451487,0.2,,
455,1150.12,368,82,167936,-7.311006600000001,0.11255915462970734,810,0.084164664,0.5366767644882202,1.069667197484523,0.5250943303108215,-0.010697736545989756,0.003,0.397412109375,-1.6088487736880779,0.2,,
461,1150.12,368,83,169984,-7.395602100000001,0.028379833325743675,820,0.08485039,0.5344107151031494,0.27121917966287584,0.6965604424476624,-0.00495218314754311,0.003,0.413330078125,-1.5971203450113536,0.2,,
466,1150.12,368,84,172032,-7.34417465,0.062452588230371475,830,0.10096781,0.523431122303009,0.34461874488042665,0.7846511900424957,-0.012676420409115962,0.003,0.433984375,-1.5559658236801623,0.2,,
472,1150.12,368,85,174080,-7.3805042400000005,-0.022473111748695374,840,0.1364269,0.5220608711242676,0.2722348977229558,0.8196358233690262,0.005867254687473178,0.003,0.412451171875,-1.5724410351365805,0.2,,
477,1150.12,368,86,176128,-7.80396397,0.021071163937449455,850,0.10393722,0.5225300788879395,0.21111391024896875,0.7953474819660187,-0.005666556174401194,0.003,0.472802734375,-1.538162524625659,0.2,,
483,1150.12,368,87,178176,-7.446456339999998,0.05595408380031586,860,0.09730056,0.5134524703025818,0.7359156189719215,0.7117857038974762,-0.012662086258933414,0.003,0.413134765625,-1.5190159410238266,0.2,,
488,1150.12,368,88,180224,-7.84827178,0.06465567648410797,870,0.07296334,0.5059890151023865,0.31183186199050394,0.36247193813323975,-0.00682316165039083,0.003,0.391455078125,-1.489202081412077,0.2,,
494,1150.12,368,89,182272,-7.68266624,0.01563478261232376,880,0.10173112,0.5147017240524292,0.26105521465651693,0.6413113176822662,-0.004718888389470521,0.003,0.441015625,-1.5005812376737595,0.2,,
499,1139.77,368,90,184320,-6.483697230000001,0.13752679526805878,890,0.0985462,0.5146409273147583,0.4800731165800244,0.6601567566394806,-0.017232432478340342,0.003,0.446435546875,-1.5192943282425404,0.2,,
505,1148.94,368,91,186368,-6.249471740000001,0.04238208383321762,900,0.16713192,0.4989226460456848,0.7678604161017575,-0.034360408782958984,-0.00621899705438409,0.003,0.440771484375,-1.473158785328269,0.2,,
511,1150.2,368,92,188416,-7.088577249999998,0.05544133111834526,910,0.10237853,0.5035412311553955,0.33981991559267044,-0.08247518539428711,-0.006331909614527831,0.003,0.442626953125,-1.4398546669632197,0.2,,
516,1157.18,368,93,190464,-6.336856579999999,0.05565619468688965,920,0.12823293,0.5092689990997314,0.3807859295513481,0.23406308889389038,-0.01030624387676653,0.003,0.430322265625,-1.4501659359782935,0.2,,
521,1157.18,368,94,192512,-5.992705590000001,0.04905689135193825,930,0.13405873,0.5029399394989014,0.5512283492367714,0.3747591972351074,-0.006025163474259898,0.003,0.4705078125,-1.4432334549725057,0.2,,
527,1168.5,369,95,194560,-6.151849780000001,0.09372492134571075,940,0.10510445,0.5068094730377197,0.8049848492722959,0.35681551694869995,-0.017922035795345438,0.003,0.446484375,-1.4604100733995438,0.2,,
532,1168.5,369,96,196608,-6.808433240000002,0.09180735051631927,950,0.11479417,0.5008161664009094,1.441108014434576,0.27012866735458374,-0.013068266797927209,0.003,0.419287109375,-1.4317209299653768,0.2,,
537,1168.5,369,97,198656,-8.15980129,0.11169583350419998,960,0.123613074,0.502771258354187,0.4080360888503492,0.5563342273235321,0.001521411411522422,0.003,0.451416015625,-1.4290734499692916,0.2,,
,,,,200000,,0.06029082462191582,970,0.13924712,0.49787843227386475,0.5541881260462105,0.7554488033056259,-0.010970955481752753,0.003,0.451806640625,-1.438737741485238,0.2,-5.537187910140619,1200.0
563,1168.5,356,98,200704,-8.481598830000001,,,,,,,,,,,,,
569,1162.07,356,99,202752,-7.4224252700000015,0.045043062418699265,980,0.123158716,0.4999848008155823,0.2339962650090456,0.48980712890625,-0.0064226845672237685,0.003,0.45595703125,-1.438293020054698,0.2,,
574,1162.07,356,100,204800,-7.53239939,0.12520039081573486,990,0.11993175,0.5012074112892151,0.7675440731225536,0.5049923956394196,-0.009833266666100826,0.003,0.449951171875,-1.4146073371171952,0.2,,
580,1162.07,356,101,206848,-6.70888315,1.1006968021392822,1000,0.08021555,0.5170454978942871,2.392158083431423,0.6180466413497925,-0.0077004816281259995,0.003,0.372265625,-1.4761742018163204,0.2,,
585,1162.07,356,102,208896,-5.8321850500000005,0.02350611239671707,1010,0.11027452,0.5070034265518188,0.6638308236608281,0.8389785438776016,-0.017415957659250126,0.003,0.42265625,-1.4597943618893623,0.2,,
590,1155.39,357,103,210944,-5.1020642,0.08234041929244995,1020,0.20280725,0.5058114528656006,0.9935032953973859,0.7323907017707825,-0.00630094380612718,0.003,0.46630859375,-1.4538100097328424,0.2,,
596,1156.91,357,104,212992,-5.314507000000001,0.14241237938404083,1030,0.09836778,0.4982839822769165,1.2673478408018126,0.44023406505584717,-0.0026085250399773942,0.003,0.43603515625,-1.4228126391768456,0.2,,
601,1156.91,357,105,215040,-5.085639390000001,0.11730834096670151,1040,0.113832004,0.503096342086792,0.636892345151864,0.6820156574249268,-0.009453852253500372,0.003,0.432861328125,-1.4102139949798584,0.2,,
607,1156.91,357,106,217088,-4.670498460000001,0.08651633560657501,1050,0.14480859,0.4832252264022827,0.6436974463984371,0.6326923072338104,-0.003498505521565676,0.003,0.46005859375,-1.3692741293460131,0.2,,
612,1147.48,357,107,219136,-5.08115564,0.07114093005657196,1060,0.09609185,0.47562751173973083,0.510482304659672,0.7582148164510727,-0.006818723501055501,0.003,0.428662109375,-1.3472476553171873,0.2,,
617,1147.48,357,108,221184,-5.301983240000001,0.2822839617729187,1070,0.11323788,0.4842727780342102,1.0499774208525197,0.5726966261863708,-0.015349805833830032,0.003,0.409423828125,-1.3397016152739525,0.2,,
623,1147.48,358,109,223232,-5.476850280000001,0.07611909508705139,1080,0.12191126,0.4983293414115906,0.6491514489753172,0.6495402753353119,-0.002041495518642478,0.003,0.440771484375,-1.3924563139677049,0.2,,
628,1147.48,358,110,225280,-5.734160900000001,0.15371720492839813,1090,0.16296822,0.50130295753479,0.8726486723637208,0.7390333712100983,0.008208030115929433,0.003,0.471435546875,-1.411011605337262,0.2,,
633,1147.48,358,111,227328,-6.914550630000003,0.046705007553100586,1100,0.1187248,0.48855364322662354,0.4090802723309025,0.8066079616546631,-0.013514569918334019,0.003,0.445556640625,-1.377566784247756,0.2,,
639,1147.48,358,112,229376,-6.442474520000001,0.14438842236995697,1110,0.12638666,0.48122116923332214,0.7125333150848746,0.8123254626989365,-0.016731619653000962,0.003,0.445751953125,-1.3391409724950791,0.2,,
644,1147.48,358,113,231424,-5.685636120000002,0.1344773769378662,1120,0.15442161,0.4819204807281494,0.9324584961635992,0.779483750462532,-0.009653612422698642,0.003,0.481494140625,-1.3152632221579552,0.2,,
650,1147.48,358,114,233472,-5.693343670000001,0.10951122641563416,1130,0.16815382,0.469082772731781,1.3772715713363142,0.8067635893821716,-0.011085348341293867,0.003,0.46875,-1.279307520389557,0.2,,
655,1156.52,359,115,235520,-6.0824419999999995,0.14641624689102173,1140,0.16393615,0.47152477502822876,0.3938754854025319,0.703359842300415,-0.00934080817096401,0.003,0.50390625,-1.2980809777975082,0.2,,
661,1156.52,359,116,237568,-5.97569979,0.06948861479759216,1150,0.17922613,0.46963608264923096,0.8599077124148607,0.6997726559638977,-0.004296843870542943,0.003,0.5103515625,-1.2783462580293417,0.2,,
667,1156.52,359,117,239616,-6.183290059999999,0.2634653151035309,1160,0.1443544,0.4648536145687103,1.059495010226965,0.7329526245594025,-0.011268722923705354,0.003,0.501220703125,-1.2522560477256774,0.2,,
672,1156.52,359,118,241664,-5.969044140000001,0.21397805213928223,1170,0.1317977,0.4645184874534607,1.22718794522807,0.5660028755664825,-0.005859501950908452,0.003,0.488427734375,-1.2463043928146362,0.2,,
678,1156.52,359,119,243712,-5.8564636100000005,0.04321451112627983,1180,0.21162412,0.4637870192527771,0.5699930305127054,0.8963641300797462,-0.0013431805753498338,0.003,0.518701171875,-1.2597735501825809,0.2,,
683,1156.52,359,120,245760,-5.700063529999999,0.069021075963974,1190,0.14848813,0.47456446290016174,0.5280564750079065,0.6336734890937805,-0.0016508729153429159,0.003,0.487939453125,-1.291162434592843,0.2,,
688,1155.74,359,121,247808,-6.26329731,0.09836266934871674,1200,0.14168808,0.464086651802063,0.45162261081859467,0.8517035692930222,-0.00471915009256918,0.003,0.459326171875,-1.2772198412567377,0.2,,
694,1155.74,359,122,249856,-6.32710746,0.10335496068000793,1210,0.17374493,0.46833765506744385,1.2130073602776974,0.6708879768848419,-0.004401137831882807,0.003,0.4541015625,-1.2549536008387805,0.2,,
699,1155.74,359,123,251904,-6.593258639999999,0.02383694052696228,1220,0.40692464,0.46370261907577515,0.14515170000959188,0.8535317331552505,0.0046028882323298605,0.003,0.51904296875,-1.2694578852504492,0.2,,
705,1161.8,360,124,253952,-6.4867721000000005,0.040111128240823746,1230,0.16914731,0.45548373460769653,0.3362687224987894,0.4512676000595093,-0.004330019472399726,0.003,0.50400390625,-1.211413173377514,0.2,,
710,1152.5,360,125,256000,-6.09234835,0.08681496977806091,1240,0.15671553,0.44134458899497986,0.27390112620778384,0.8747265785932541,0.005315380456158892,0.003,0.49755859375,-1.1658345207571983,0.2,,
716,1152.5,360,126,258048,-6.1924556,0.05779699981212616,1250,0.18345344,0.43971389532089233,0.9004146707477048,0.7900142818689346,-0.005197201891860459,0.003,0.49853515625,-1.1483989782631396,0.2,,
